tipo;x;y;presencia
robledal;455050;4098850;0
robledal;455150;4122550;0
robledal;455150;4113250;0
robledal;455250;4119850;0
robledal;455250;4116550;0
robledal;455250;4109850;0
robledal;455250;4103650;0
robledal;455250;4101150;0
robledal;455250;4092050;0
robledal;455350;4105650;0
robledal;455350;4086950;0
robledal;455550;4107050;0
robledal;455550;4093350;0
robledal;455550;4092050;0
robledal;455650;4102050;0
robledal;455650;4083450;0
robledal;455750;4114550;0
robledal;455750;4112250;0
robledal;455750;4110850;0
robledal;455850;4106850;0
robledal;455850;4084450;0
robledal;455950;4099250;0
robledal;455950;4097050;0
robledal;455950;4094050;0
robledal;456050;4094450;0
robledal;456050;4093750;0
robledal;456150;4120050;0
robledal;456150;4115250;0
robledal;456150;4111450;0
robledal;456150;4091950;0
robledal;456250;4094650;0
robledal;456250;4090150;0
robledal;456350;4116650;0
robledal;456450;4084450;0
robledal;456550;4124550;0
robledal;456550;4113150;0
robledal;456550;4108350;0
robledal;456550;4100950;0
robledal;456550;4092150;0
robledal;456550;4087850;0
robledal;456650;4120250;0
robledal;456650;4112550;0
robledal;456650;4112050;0
robledal;456650;4084650;0
robledal;456750;4120650;0
robledal;456750;4105550;0
robledal;456850;4109650;0
robledal;456850;4104650;0
robledal;456850;4090850;0
robledal;456950;4093450;0
robledal;456950;4090150;0
robledal;457050;4115650;0
robledal;457150;4102850;0
robledal;457250;4120950;0
robledal;457250;4115050;0
robledal;457250;4103850;0
robledal;457250;4096750;0
robledal;457250;4095350;0
robledal;457250;4089850;0
robledal;457350;4111750;0
robledal;457350;4105650;0
robledal;457350;4099350;0
robledal;457350;4091650;0
robledal;457550;4107850;0
robledal;457550;4098550;0
robledal;457550;4098150;0
robledal;457550;4097250;0
robledal;457650;4117450;0
robledal;457650;4109250;0
robledal;457650;4099450;0
robledal;457650;4095550;0
robledal;457850;4103550;0
robledal;457950;4103150;0
robledal;457950;4096750;0
robledal;458050;4123550;0
robledal;458050;4117150;0
robledal;458050;4094350;0
robledal;458050;4093050;0
robledal;458050;4092750;0
robledal;458150;4118350;0
robledal;458150;4116850;0
robledal;458150;4107850;0
robledal;458150;4095350;0
robledal;458150;4094150;0
robledal;458250;4102750;0
robledal;458250;4100150;0
robledal;458250;4099850;0
robledal;458250;4089950;0
robledal;458450;4104950;0
robledal;458450;4101750;0
robledal;458550;4103650;0
robledal;458550;4098150;0
robledal;458550;4096250;0
robledal;458550;4093950;0
robledal;458750;4121050;0
robledal;458750;4097050;0
robledal;458750;4092950;0
robledal;458750;4087750;0
robledal;458850;4101850;0
robledal;458950;4119050;0
robledal;458950;4109150;0
robledal;458950;4108150;0
robledal;458950;4107450;0
robledal;458950;4087750;0
robledal;459050;4116850;0
robledal;459050;4110450;0
robledal;459050;4086250;0
robledal;459150;4095350;0
robledal;459250;4101550;0
robledal;459250;4089150;0
robledal;459350;4095050;0
robledal;459350;4085750;0
robledal;459450;4123850;0
robledal;459550;4120650;0
robledal;459550;4102550;0
robledal;459550;4099650;0
robledal;459650;4117450;0
robledal;459650;4106650;0
robledal;459750;4097850;0
robledal;459750;4094350;0
robledal;459850;4121750;0
robledal;459850;4099750;0
robledal;459950;4099250;0
robledal;459950;4094950;0
robledal;460050;4118250;0
robledal;460250;4123250;0
robledal;460350;4119950;0
robledal;460350;4092450;0
robledal;460450;4118950;0
robledal;460450;4117350;0
robledal;460450;4107950;0
robledal;460450;4101650;0
robledal;460450;4085050;0
robledal;460550;4088150;0
robledal;460650;4098850;0
robledal;460750;4119350;0
robledal;460750;4117250;0
robledal;460750;4094050;0
robledal;460750;4093050;0
robledal;460850;4116350;0
robledal;460850;4110250;0
robledal;460850;4107550;0
robledal;460850;4098950;0
